fileName,modelAtmosphere,pathType,surfaceAlbedo,surfaceTemperature,albedoFilename,targetLabel,backgroundLabel,visibility,groundAltitude,sensorAltitude,targetAltitude,sensorZenith,sensorAzimuth,dZenith,dAzimuth,dayNumber,extraterrestrialSource,latitude,longitude,timeUTC,startingWavelength,endingWavelength,wavelengthIncrement,fwhm,key
tape5,2,2,,303.15,spec_alb.dat,green felt,"constant, 18%",0.0,0.168,0.28231,100.0,0.0,0.0,2.5,5,312,0,43.041,77.698,15.0,0.3,1.2,0.001,0.001,0
Target Norm Blue,Target Norm Green,Target Norm Red,Target Norm RE,Target Norm IR,radianceType,Downwelling Norm Blue,Downwelling Norm Green,Downwelling Norm Red,Downwelling Norm RE,Downwelling Norm IR,radianceType
0.00109421756734,0.0010423389106,0.000501105216304,0.00043621860611,0.00181081157716,Target,0.0,0.0,0.0,0.0,0.0,Downwelling
wavelengths,tgtSolScat,groundReflect,directReflect,estDownwell,totalRadiance,sumSolScat,Norm Blue,Norm Green,Norm Red,Norm RE,Norm IR
0.414,0.00014589,0.00060108,0.0001703,0.00043078,0.00074697,0.0,2216000.0,1710000.0,3026600.0,5938000.0,568200.0
0.415,0.00015401,0.00063285,0.00018057,0.00045228,0.00078686,0.0,2770000.0,1825000.0,3585500.0,6300000.0,548000.0
0.416,0.00015429,0.00063195,0.00018164,0.00045031,0.00078625,0.0,3324000.0,1940000.0,4144400.0,6662000.0,527800.0
0.417,0.0001463,0.00059625,0.00017254,0.00042371,0.00074254,0.0,3878000.0,2055000.0,4703300.0,7024000.0,507600.0
0.418,0.00014419,0.00058481,0.00017045,0.00041436,0.00072899,0.0,4432000.0,2170000.0,5262200.0,7386000.0,487400.0
0.419,0.00014564,0.00058889,0.00017282,0.00041607,0.00073453,0.0,4986000.0,2285000.0,5821100.0,7748000.0,467200.0
0.42,0.00012268,0.0004958,0.00014649,0.00034931,0.00061848,0.0,5540000.0,2400000.0,6380000.0,8110000.0,447000.0
0.421,0.00015345,0.00062068,0.00018463,0.00043605,0.00077413,0.0,5291000.0,2362000.0,5788000.0,7803000.0,402300.0
0.422,0.00014611,0.00059166,0.0001772,0.00041446,0.00073778,0.0,5042000.0,2324000.0,5196000.0,7496000.0,357600.0
0.423,0.00012323,0.00049947,0.00015058,0.00034889,0.0006227,0.0,4793000.0,2286000.0,4604000.0,7189000.0,312900.0
0.424,0.00013317,0.00054037,0.00016395,0.00037642,0.00067354,0.0,4544000.0,2248000.0,4012000.0,6882000.0,268200.0
0.425,0.00013769,0.0005588,0.00017063,0.00038817,0.00069648,0.0,4295000.0,2210000.0,3420000.0,6575000.0,223500.0
0.426,0.00013224,0.00053625,0.00016479,0.00037146,0.00066849,0.0,4046000.0,2172000.0,2828000.0,6268000.0,178800.0
0.427,0.00012637,0.00051278,0.00015853,0.00035425,0.00063915,0.0,3797000.0,2134000.0,2236000.0,5961000.0,134100.0
0.428,0.00012681,0.00051417,0.00016001,0.00035416,0.00064098,0.0,3548000.0,2096000.0,1644000.0,5654000.0,89400.0
